unitid,instnm,stabbr,zip,fips,webaddr,countycd,countynm,enrollment2015,merge
217998,Erskine College,SC,29639,45,www.erskine.edu,45001,Abbeville County,915,matched (3)
159407,Louisiana State University-Eunice,LA,70535,22,www.lsue.edu,22001,Acadia Parish,3301,matched (3)
232052,Eastern Shore Community College,VA,23410,51,www.es.vccs.edu,51001,Accomack County,1131,matched (3)
142054,Carrington College-Boise,ID,83704-8742,16,www.carrington.edu,16001,Ada County,705,matched (3)
142090,Boise Bible College,ID,83714-1220,16,www.boisebible.edu,16001,Ada County,196,matched (3)
142115,Boise State University,ID,83725,16,www.boisestate.edu,16001,Ada County,29065,matched (3)
142337,ITT Technical Institute-Boise,ID,83713-1529,16,www.itt-tech.edu,16001,Ada County,475,matched (3)
260929,Paul Mitchell the School-Boise,ID,83709,16,boise.paulmitchell.edu/,16001,Ada County,218,matched (3)
440466,University of Phoenix-Idaho,ID,83642-5114,16,www.phoenix.edu,16001,Ada County,277,matched (3)
123456,Blah,NY,83642-5114,16,www.oaky.edu,14534,Monroe,279,matched (3)
